user_id,policy_num,last_t,entry_t,calendar_t,action1prob,intercept,action,reward,past_action_1,past_reward,past_action_1_reward,dosage,in_study,in_study_row_index,pretreat_feature1,pretreat_feature2,Z_id
1,1.0,5,1,1,0.3649466633796692,1,0.0,-1.7224413815874529,0.0,-0.2929622454819789,0.0,0.0,1,0,0.6096337925867521,1.4269744569394742,1
1,2.0,5,1,2,0.8387241959571838,1,1.0,-1.455629502678628,0.0,-1.7224413815874529,-0.0,0.0,1,1,0.6096337925867521,1.4269744569394742,1
1,3.0,5,1,3,0.1297498345375061,1,0.0,-1.2350076224649869,1.0,-1.455629502678628,-1.455629502678628,0.050000000000000044,1,2,0.6096337925867521,1.4269744569394742,1
1,4.0,5,1,4,0.6355304718017578,1,1.0,-1.4543034987753574,0.0,-1.2350076224649869,-0.0,0.04750000000000004,1,3,0.6096337925867521,1.4269744569394742,1
1,5.0,5,1,5,0.37803569436073303,1,0.0,-1.2065539996889825,1.0,-1.4543034987753574,-1.4543034987753574,0.09512500000000007,1,4,0.6096337925867521,1.4269744569394742,1
2,1.0,5,1,1,0.3340112268924713,1,0.0,2.3720485560606797,0.0,0.19201246645150466,0.0,0.0,1,5,0.1377692930794302,-0.6871262930401086,1
2,2.0,5,1,2,0.5030945539474487,1,0.0,0.8321022977274005,0.0,2.3720485560606797,0.0,0.0,1,6,0.1377692930794302,-0.6871262930401086,1
2,3.0,5,1,3,0.8602917790412903,1,1.0,1.84933607476945,0.0,0.8321022977274005,0.0,0.0,1,7,0.1377692930794302,-0.6871262930401086,1
2,4.0,5,1,4,0.8994237780570984,1,1.0,2.1166390161132993,1.0,1.84933607476945,1.84933607476945,0.050000000000000044,1,8,0.1377692930794302,-0.6871262930401086,1
2,5.0,5,1,5,0.8999108672142029,1,1.0,1.0545701054512728,1.0,2.1166390161132993,2.1166390161132993,0.09750000000000009,1,9,0.1377692930794302,-0.6871262930401086,1
3,1.0,5,1,1,0.3699892461299896,1,1.0,-0.5493667528179748,0.0,-0.36911682027199283,0.0,0.0,1,10,0.7148297393367588,0.9162150071350974,1
